hr,weather,temperature,relative-humidity,windspeed,year,month,dayofweek,log_total_users
2,clear,80.2,76.0,24.0,2012,January,Friday,5.181783550292085
13,light snow/rain,97.2,83.0,11.0,2012,July,Saturday,8.28576542051433
12,clear,110.7,29.0,20.0,2012,June,Wednesday,8.22389538017882
23,light snow/rain,103.9,83.0,6.0,2012,July,Sunday,7.277247726631484
17,cloudy,98.9,33.0,17.0,2012,April,Saturday,8.660773919893762
0,clear,92.1,32.0,11.0,2012,April,Wednesday,6.1675164908883415
7,clear,63.3,69.0,17.0,2012,February,Thursday,8.146129510025405
9,clear,105.6,65.0,0.0,2011,August,Saturday,7.682943169878292
17,clear,117.5,32.0,0.0,2011,July,Saturday,8.356554845453426
13,clear,112.4,52.0,17.0,2011,August,Friday,7.789868559054706
13,clear,75.2,39.0,20.0,2011,December,Saturday,7.264730177929867
7,clear,105.6,84.0,13.0,2011,August,Sunday,6.09807428216624
5,clear,80.2,87.0,0.0,2011,November,Monday,6.09807428216624
12,clear,115.8,46.0,19.0,2011,July,Sunday,8.319473692442186
10,clear,107.3,71.0,20.0,2011,August,Thursday,7.186901020411631
20,clear,102.2,61.0,13.0,2011,May,Tuesday,8.188411308079031
2,cloudy,75.2,42.0,22.0,2011,February,Monday,3.7376696182833684
19,cloudy,75.2,76.0,22.0,2011,March,Wednesday,7.424165281042028
6,clear,66.7,87.0,0.0,2011,October,Monday,6.996681488176539
10,cloudy,100.5,78.0,9.0,2012,September,Friday,7.96693349840484
18,clear,70.1,45.0,11.0,2012,December,Thursday,8.883640232503673
1,clear,73.5,39.0,0.0,2011,March,Wednesday,4.770684624465665
13,clear,105.6,57.99999999999999,15.0,2012,September,Wednesday,8.29853954537488
19,cloudy,81.9,71.0,11.0,2012,January,Thursday,8.339261982923576
18,clear,112.4,38.0,17.0,2012,July,Wednesday,9.220587688427733
21,clear,68.4,81.0,0.0,2011,December,Monday,7.348587530927593
17,clear,81.9,77.0,0.0,2011,December,Monday,8.648747631156539
8,clear,54.9,74.0,11.0,2011,February,Friday,7.931644021454311
17,clear,81.9,32.0,0.0,2012,November,Monday,8.869679374733515
4,clear,103.9,69.0,17.0,2012,July,Wednesday,5.170483995038151
12,light snow/rain,110.7,55.00000000000001,9.0,2011,August,Wednesday,7.589841512182657
1,clear,90.4,72.0,7.0,2012,September,Wednesday,5.552959584921617
2,clear,71.8,56.00000000000001,19.0,2012,March,Wednesday,4.04305126783455
0,clear,90.4,88.0,0.0,2012,March,Wednesday,6.008813185442595
8,cloudy,88.7,94.0,13.0,2012,March,Saturday,7.469654172932128
15,clear,124.2,35.0,20.0,2012,July,Wednesday,8.510772623613315
15,clear,105.6,54.0,0.0,2011,June,Sunday,8.40290404501411
2,cloudy,85.3,88.0,0.0,2012,October,Wednesday,4.564348191467836
20,light snow/rain,76.9,93.0,28.0,2012,April,Sunday,6.113682179832232
6,cloudy,83.6,82.0,0.0,2011,May,Sunday,4.127134385045092
10,clear,109.0,55.00000000000001,11.0,2012,August,Friday,7.828038032125829
2,light snow/rain,98.9,94.0,6.0,2012,May,Wednesday,4.1588830833596715
6,clear,81.9,67.0,6.0,2012,May,Saturday,5.908082938168931
8,clear,97.2,83.0,6.0,2012,September,Friday,9.102532419341877
21,clear,103.9,51.0,11.0,2011,June,Saturday,7.720905251936779
22,clear,90.4,77.0,17.0,2012,November,Monday,7.236339342754344
4,cloudy,110.7,66.0,0.0,2012,June,Friday,4.718498871295094
22,clear,80.2,82.0,0.0,2011,November,Thursday,7.409741954080923
20,light snow/rain,66.7,93.0,9.0,2012,December,Monday,5.5909869805108565
0,clear,71.8,33.0,15.0,2012,January,Sunday,7.050989447068045
20,clear,102.2,69.0,15.0,2011,June,Monday,8.24143968982973
2,cloudy,92.1,64.0,22.0,2012,September,Wednesday,3.713572066704308
4,clear,90.4,68.0,19.0,2012,September,Monday,4.0943445622221
20,cloudy,109.0,70.0,9.0,2012,August,Tuesday,8.589699882202986
8,clear,61.6,55.00000000000001,11.0,2011,January,Saturday,6.042632833682381
3,cloudy,105.6,79.0,0.0,2011,July,Tuesday,4.532599493153256
17,clear,75.2,39.0,13.0,2012,November,Thursday,8.880585523102495
15,clear,110.7,37.0,0.0,2012,August,Tuesday,8.153349757998892
19,clear,109.0,51.0,11.0,2012,July,Friday,8.653645314551737
22,clear,87.0,39.0,13.0,2011,May,Thursday,7.582738488914411
12,clear,80.2,62.0,19.0,2012,February,Wednesday,7.850103545175582
22,clear,110.7,70.0,17.0,2012,August,Friday,7.762596048540069
12,clear,83.6,38.0,19.0,2011,April,Sunday,8.0323601479245
10,clear,88.7,55.00000000000001,0.0,2012,October,Monday,7.804659297056102
7,cloudy,76.9,71.0,9.0,2011,October,Monday,8.066207568006265
13,cloudy,58.2,43.0,17.0,2012,January,Wednesday,7.026426808699636
0,cloudy,83.6,47.0,19.0,2012,April,Tuesday,5.7745515455444085
21,clear,80.2,54.0,13.0,2012,October,Friday,7.75833346749091
13,clear,90.4,45.0,19.0,2012,October,Tuesday,8.258422462458876
22,cloudy,92.1,83.0,13.0,2012,October,Thursday,7.942362237674335
6,cloudy,98.9,83.0,6.0,2012,July,Sunday,5.37989735354046
13,light snow/rain,75.2,66.0,26.0,2012,April,Monday,7.19668657083435
22,clear,92.1,68.0,17.0,2012,April,Friday,7.81035268372429
11,cloudy,88.7,72.0,28.0,2011,November,Wednesday,7.284820912568604
